ContextId,WlUrlPath,ExampleUrl
58640,/suche/kaufen/landwirtschaft,https://immowelt.de/suche/kaufen/landwirtschaft/berlin/berlin-10115/ad08de8634
45430,/suche/kaufen/landwirtschaft/farm,https://immowelt.de/suche/kaufen/landwirtschaft/farm/berlin/berlin-10115/ad08de8634
31816,/suche/kaufen/landwirtschaft/forstwirtschaft,https://immowelt.de/suche/kaufen/landwirtschaft/forstwirtschaft/berlin/berlin-10115/ad08de8634
92072,/suche/kaufen/landwirtschaft/reiterhof,https://immowelt.de/suche/kaufen/landwirtschaft/reiterhof/berlin/berlin-10115/ad08de8634
97990,/suche/kaufen/landwirtschaft/weingut,https://immowelt.de/suche/kaufen/landwirtschaft/weingut/berlin/berlin-10115/ad08de8634
74434,/suche/kaufen/wohnung,https://immowelt.de/suche/kaufen/wohnung/berlin/berlin-10115/ad08de8634
72243,/suche/kaufen/wohnung/balkon-terrasse,https://immowelt.de/suche/kaufen/wohnung/balkon-terrasse/berlin/berlin-10115/ad08de8634
84527,/suche/kaufen/wohnung/mit-keller,https://immowelt.de/suche/kaufen/wohnung/mit-keller/berlin/berlin-10115/ad08de8634
35382,/suche/kaufen/wohnung/preis--100000,https://immowelt.de/suche/kaufen/wohnung/preis--100000/berlin/berlin-10115/ad08de8634
23871,/suche/kaufen/wohnung/ohne-provision,https://immowelt.de/suche/kaufen/wohnung/ohne-provision/berlin/berlin-10115/ad08de8634
47114,/suche/kaufen/wohnung/mit-garten,https://immowelt.de/suche/kaufen/wohnung/mit-garten/berlin/berlin-10115/ad08de8634
31942,/suche/kaufen/wohnung/erdgeschoss,https://immowelt.de/suche/kaufen/wohnung/erdgeschoss/berlin/berlin-10115/ad08de8634
69083,/suche/kaufen/wohnung/jahr--1949,https://immowelt.de/suche/kaufen/wohnung/jahr--1949/berlin/berlin-10115/ad08de8634
49766,/suche/kaufen/wohnung/neubau,https://immowelt.de/suche/kaufen/wohnung/neubau/berlin/berlin-10115/ad08de8634
42649,/suche/kaufen/wohnung/mit-parkplatz,https://immowelt.de/suche/kaufen/wohnung/mit-parkplatz/berlin/berlin-10115/ad08de8634
64472,/suche/kaufen/wohnung/privat,https://immowelt.de/suche/kaufen/wohnung/privat/berlin/berlin-10115/ad08de8634
92930,/suche/kaufen/wohnung/behindertengerecht,https://immowelt.de/suche/kaufen/wohnung/behindertengerecht/berlin/berlin-10115/ad08de8634
59408,/suche/kaufen/wohnung/dachgeschoss,https://immowelt.de/suche/kaufen/wohnung/dachgeschoss/berlin/berlin-10115/ad08de8634
49002,/suche/kaufen/wohnung/renovierungsbeduerftig,https://immowelt.de/suche/kaufen/wohnung/renovierungsbeduerftig/berlin/berlin-10115/ad08de8634
18293,/suche/kaufen/wohnung/kapitalanlage,https://immowelt.de/suche/kaufen/wohnung/kapitalanlage/berlin/berlin-10115/ad08de8634
65710,/suche/kaufen/wohnung/zimmer-1,https://immowelt.de/suche/kaufen/wohnung/zimmer-1/berlin/berlin-10115/ad08de8634
41195,/suche/kaufen/wohnung/zimmer-2,https://immowelt.de/suche/kaufen/wohnung/zimmer-2/berlin/berlin-10115/ad08de8634
52401,/suche/kaufen/wohnung/zimmer-3,https://immowelt.de/suche/kaufen/wohnung/zimmer-3/berlin/berlin-10115/ad08de8634
12127,/suche/kaufen/wohnung/zimmer-4,https://immowelt.de/suche/kaufen/wohnung/zimmer-4/berlin/berlin-10115/ad08de8634
